,Survived,Pclass,SibSp,Parch,Gender,AgeFill,FareFill,PortFill
0,0,3,1,0,1,22.0,7.25,3.0
1,1,1,1,0,0,38.0,71.2833,1.0
2,1,3,0,0,0,26.0,7.925,3.0
3,1,1,1,0,0,35.0,53.1,3.0
4,0,3,0,0,1,35.0,8.05,3.0
5,0,3,0,0,1,25.0,8.4583,2.0
6,0,1,0,0,1,54.0,51.8625,3.0
7,0,3,3,1,1,2.0,21.075,3.0
8,1,3,0,2,0,27.0,11.1333,3.0
9,1,2,1,0,0,14.0,30.0708,1.0
10,1,3,1,1,0,4.0,16.7,3.0
11,1,1,0,0,0,58.0,26.55,3.0
12,0,3,0,0,1,20.0,8.05,3.0
13,0,3,1,5,1,39.0,31.275,3.0
14,0,3,0,0,0,14.0,7.8542,3.0
15,1,2,0,0,0,55.0,16.0,3.0
16,0,3,4,1,1,2.0,29.125,2.0
17,1,2,0,0,1,30.0,13.0,3.0
18,0,3,1,0,0,31.0,18.0,3.0
19,1,3,0,0,0,21.5,7.225,1.0
20,0,2,0,0,1,35.0,26.0,3.0
21,1,2,0,0,1,34.0,13.0,3.0
22,1,3,0,0,0,15.0,8.0292,2.0
23,1,1,0,0,1,28.0,35.5,3.0
24,0,3,3,1,0,8.0,21.075,3.0
25,1,3,1,5,0,38.0,31.3875,3.0
26,0,3,0,0,1,25.0,7.225,1.0
27,0,1,3,2,1,19.0,263.0,3.0
28,1,3,0,0,0,21.5,7.8792,2.0
29,0,3,0,0,1,25.0,7.8958,3.0
30,0,1,0,0,1,40.0,27.7208,1.0
31,1,1,1,0,0,35.0,146.5208,1.0
32,1,3,0,0,0,21.5,7.75,2.0
33,0,2,0,0,1,66.0,10.5,3.0
34,0,1,1,0,1,28.0,82.1708,1.0
35,0,1,1,0,1,42.0,52.0,3.0
36,1,3,0,0,1,25.0,7.2292,1.0
37,0,3,0,0,1,21.0,8.05,3.0
38,0,3,2,0,0,18.0,18.0,3.0
39,1,3,1,0,0,14.0,11.2417,1.0
40,0,3,1,0,0,40.0,9.475,3.0
41,0,2,1,0,0,27.0,21.0,3.0
42,0,3,0,0,1,25.0,7.8958,1.0
43,1,2,1,2,0,3.0,41.5792,1.0
44,1,3,0,0,0,19.0,7.8792,2.0
45,0,3,0,0,1,25.0,8.05,3.0
46,0,3,1,0,1,25.0,15.5,2.0
47,1,3,0,0,0,21.5,7.75,2.0
48,0,3,2,0,1,25.0,21.6792,1.0
49,0,3,1,0,0,18.0,17.8,3.0
50,0,3,4,1,1,7.0,39.6875,3.0
51,0,3,0,0,1,21.0,7.8,3.0
52,1,1,1,0,0,49.0,76.7292,1.0
53,1,2,1,0,0,29.0,26.0,3.0
54,0,1,0,1,1,65.0,61.9792,1.0
55,1,1,0,0,1,40.0,35.5,3.0
56,1,2,0,0,0,21.0,10.5,3.0
57,0,3,0,0,1,28.5,7.2292,1.0
58,1,2,1,2,0,5.0,27.75,3.0
59,0,3,5,2,1,11.0,46.9,3.0
60,0,3,0,0,1,22.0,7.2292,1.0
61,1,1,0,0,0,38.0,80.0,3.0
62,0,1,1,0,1,45.0,83.475,3.0
63,0,3,3,2,1,4.0,27.9,3.0
64,0,1,0,0,1,40.0,27.7208,1.0
65,1,3,1,1,1,25.0,15.2458,1.0
66,1,2,0,0,0,29.0,10.5,3.0
67,0,3,0,0,1,19.0,8.1583,3.0
68,1,3,4,2,0,17.0,7.925,3.0
69,0,3,2,0,1,26.0,8.6625,3.0
70,0,2,0,0,1,32.0,10.5,3.0
71,0,3,5,2,0,16.0,46.9,3.0
72,0,2,0,0,1,21.0,73.5,3.0
73,0,3,1,0,1,26.0,14.4542,1.0
74,1,3,0,0,1,32.0,56.4958,3.0
75,0,3,0,0,1,25.0,7.65,3.0
76,0,3,0,0,1,25.0,7.8958,3.0
77,0,3,0,0,1,25.0,8.05,3.0
78,1,2,0,2,1,0.83,29.0,3.0
79,1,3,0,0,0,30.0,12.475,3.0
80,0,3,0,0,1,22.0,9.0,3.0
81,1,3,0,0,1,29.0,9.5,3.0
82,1,3,0,0,0,21.5,7.7875,2.0
83,0,1,0,0,1,28.0,47.1,3.0
84,1,2,0,0,0,17.0,10.5,3.0
85,1,3,3,0,0,33.0,15.85,3.0
86,0,3,1,3,1,16.0,34.375,3.0
87,0,3,0,0,1,25.0,8.05,3.0
88,1,1,3,2,0,23.0,263.0,3.0
89,0,3,0,0,1,24.0,8.05,3.0
90,0,3,0,0,1,29.0,8.05,3.0
91,0,3,0,0,1,20.0,7.8542,3.0
92,0,1,1,0,1,46.0,61.175,3.0
93,0,3,1,2,1,26.0,20.575,3.0
94,0,3,0,0,1,59.0,7.25,3.0
95,0,3,0,0,1,25.0,8.05,3.0
96,0,1,0,0,1,71.0,34.6542,1.0
97,1,1,0,1,1,23.0,63.3583,1.0
98,1,2,0,1,0,34.0,23.0,3.0
99,0,2,1,0,1,34.0,26.0,3.0
100,0,3,0,0,0,28.0,7.8958,3.0
101,0,3,0,0,1,25.0,7.8958,3.0
102,0,1,0,1,1,21.0,77.2875,3.0
103,0,3,0,0,1,33.0,8.6542,3.0
104,0,3,2,0,1,37.0,7.925,3.0
105,0,3,0,0,1,28.0,7.8958,3.0
106,1,3,0,0,0,21.0,7.65,3.0
107,1,3,0,0,1,25.0,7.775,3.0
108,0,3,0,0,1,38.0,7.8958,3.0
109,1,3,1,0,0,21.5,24.15,2.0
110,0,1,0,0,1,47.0,52.0,3.0
111,0,3,1,0,0,14.5,14.4542,1.0
112,0,3,0,0,1,22.0,8.05,3.0
113,0,3,1,0,0,20.0,9.825,3.0
114,0,3,0,0,0,17.0,14.4583,1.0
115,0,3,0,0,1,21.0,7.925,3.0
116,0,3,0,0,1,70.5,7.75,2.0
117,0,2,1,0,1,29.0,21.0,3.0
118,0,1,0,1,1,24.0,247.5208,1.0
119,0,3,4,2,0,2.0,31.275,3.0
120,0,2,2,0,1,21.0,73.5,3.0
121,0,3,0,0,1,25.0,8.05,3.0
122,0,2,1,0,1,32.5,30.0708,1.0
123,1,2,0,0,0,32.5,13.0,3.0
124,0,1,0,1,1,54.0,77.2875,3.0
125,1,3,1,0,1,12.0,11.2417,1.0
126,0,3,0,0,1,25.0,7.75,2.0
127,1,3,0,0,1,24.0,7.1417,3.0
128,1,3,1,1,0,21.5,22.3583,1.0
129,0,3,0,0,1,45.0,6.975,3.0
130,0,3,0,0,1,33.0,7.8958,1.0
131,0,3,0,0,1,20.0,7.05,3.0
132,0,3,1,0,0,47.0,14.5,3.0
133,1,2,1,0,0,29.0,26.0,3.0
134,0,2,0,0,1,25.0,13.0,3.0
135,0,2,0,0,1,23.0,15.0458,1.0
136,1,1,0,2,0,19.0,26.2833,3.0
137,0,1,1,0,1,37.0,53.1,3.0
138,0,3,0,0,1,16.0,9.2167,3.0
139,0,1,0,0,1,24.0,79.2,1.0
140,0,3,0,2,0,21.5,15.2458,1.0
141,1,3,0,0,0,22.0,7.75,3.0
142,1,3,1,0,0,24.0,15.85,3.0
143,0,3,0,0,1,19.0,6.75,2.0
144,0,2,0,0,1,18.0,11.5,3.0
145,0,2,1,1,1,19.0,36.75,3.0
146,1,3,0,0,1,27.0,7.7958,3.0
147,0,3,2,2,0,9.0,34.375,3.0
148,0,2,0,2,1,36.5,26.0,3.0
149,0,2,0,0,1,42.0,13.0,3.0
150,0,2,0,0,1,51.0,12.525,3.0
151,1,1,1,0,0,22.0,66.6,3.0
152,0,3,0,0,1,55.5,8.05,3.0
153,0,3,0,2,1,40.5,14.5,3.0
154,0,3,0,0,1,25.0,7.3125,3.0
155,0,1,0,1,1,51.0,61.3792,1.0
156,1,3,0,0,0,16.0,7.7333,2.0
157,0,3,0,0,1,30.0,8.05,3.0
158,0,3,0,0,1,25.0,8.6625,3.0
159,0,3,8,2,1,25.0,69.55,3.0
160,0,3,0,1,1,44.0,16.1,3.0
161,1,2,0,0,0,40.0,15.75,3.0
162,0,3,0,0,1,26.0,7.775,3.0
163,0,3,0,0,1,17.0,8.6625,3.0
164,0,3,4,1,1,1.0,39.6875,3.0
165,1,3,0,2,1,9.0,20.525,3.0
166,1,1,0,1,0,35.0,55.0,3.0
167,0,3,1,4,0,45.0,27.9,3.0
168,0,1,0,0,1,40.0,25.925,3.0
169,0,3,0,0,1,28.0,56.4958,3.0
170,0,1,0,0,1,61.0,33.5,3.0
171,0,3,4,1,1,4.0,29.125,2.0
172,1,3,1,1,0,1.0,11.1333,3.0
173,0,3,0,0,1,21.0,7.925,3.0
174,0,1,0,0,1,56.0,30.6958,1.0
175,0,3,1,1,1,18.0,7.8542,3.0
176,0,3,3,1,1,25.0,25.4667,3.0
177,0,1,0,0,0,50.0,28.7125,1.0
178,0,2,0,0,1,30.0,13.0,3.0
179,0,3,0,0,1,36.0,0.0,3.0
180,0,3,8,2,0,21.5,69.55,3.0
181,0,2,0,0,1,30.0,15.05,1.0
182,0,3,4,2,1,9.0,31.3875,3.0
183,1,2,2,1,1,1.0,39.0,3.0
184,1,3,0,2,0,4.0,22.025,3.0
185,0,1,0,0,1,40.0,50.0,3.0
186,1,3,1,0,0,21.5,15.5,2.0
187,1,1,0,0,1,45.0,26.55,3.0
188,0,3,1,1,1,40.0,15.5,2.0
189,0,3,0,0,1,36.0,7.8958,3.0
190,1,2,0,0,0,32.0,13.0,3.0
