PassengerId,Survived,Pclass,SibSp,Gender,AgeFill,FareFill
0,0,3,1,1,22,7.25
1,1,1,1,0,38,71.2833
2,1,3,0,0,26,7.925
3,1,1,1,0,35,53.1
4,0,3,0,1,35,8.05
5,0,3,0,1,25,8.4583
6,0,1,0,1,54,51.8625
7,0,3,3,1,2,21.075
8,1,3,0,0,27,11.1333
9,1,2,1,0,14,30.0708
10,1,3,1,0,4,16.7
11,1,1,0,0,58,26.55
12,0,3,0,1,20,8.05
13,0,3,1,1,39,31.275
14,0,3,0,0,14,7.8542
15,1,2,0,0,55,16
16,0,3,4,1,2,29.125
17,1,2,0,1,30,13
18,0,3,1,0,31,18
19,1,3,0,0,21.5,7.225
20,0,2,0,1,35,26
21,1,2,0,1,34,13
22,1,3,0,0,15,8.0292
23,1,1,0,1,28,35.5
24,0,3,3,0,8,21.075
25,1,3,1,0,38,31.3875
26,0,3,0,1,25,7.225
27,0,1,3,1,19,263
28,1,3,0,0,21.5,7.8792
29,0,3,0,1,25,7.8958
30,0,1,0,1,40,27.7208
31,1,1,1,0,35,146.5208
32,1,3,0,0,21.5,7.75
33,0,2,0,1,66,10.5
34,0,1,1,1,28,82.1708
35,0,1,1,1,42,52
36,1,3,0,1,25,7.2292
37,0,3,0,1,21,8.05
38,0,3,2,0,18,18
39,1,3,1,0,14,11.2417
40,0,3,1,0,40,9.475
41,0,2,1,0,27,21
42,0,3,0,1,25,7.8958
43,1,2,1,0,3,41.5792
44,1,3,0,0,19,7.8792
45,0,3,0,1,25,8.05
46,0,3,1,1,25,15.5
47,1,3,0,0,21.5,7.75
48,0,3,2,1,25,21.6792
49,0,3,1,0,18,17.8
50,0,3,4,1,7,39.6875
51,0,3,0,1,21,7.8
52,1,1,1,0,49,76.7292
53,1,2,1,0,29,26
54,0,1,0,1,65,61.9792
55,1,1,0,1,40,35.5
56,1,2,0,0,21,10.5
57,0,3,0,1,28.5,7.2292
58,1,2,1,0,5,27.75
59,0,3,5,1,11,46.9
60,0,3,0,1,22,7.2292
61,1,1,0,0,38,80
62,0,1,1,1,45,83.475
63,0,3,3,1,4,27.9
64,0,1,0,1,40,27.7208
65,1,3,1,1,25,15.2458
66,1,2,0,0,29,10.5
67,0,3,0,1,19,8.1583
68,1,3,4,0,17,7.925
69,0,3,2,1,26,8.6625
70,0,2,0,1,32,10.5
71,0,3,5,0,16,46.9
72,0,2,0,1,21,73.5
73,0,3,1,1,26,14.4542
74,1,3,0,1,32,56.4958
75,0,3,0,1,25,7.65
76,0,3,0,1,25,7.8958
77,0,3,0,1,25,8.05
78,1,2,0,1,0.83,29
79,1,3,0,0,30,12.475
80,0,3,0,1,22,9
81,1,3,0,1,29,9.5
82,1,3,0,0,21.5,7.7875
83,0,1,0,1,28,47.1
84,1,2,0,0,17,10.5
85,1,3,3,0,33,15.85
86,0,3,1,1,16,34.375
87,0,3,0,1,25,8.05
88,1,1,3,0,23,263
89,0,3,0,1,24,8.05
90,0,3,0,1,29,8.05
91,0,3,0,1,20,7.8542
92,0,1,1,1,46,61.175
93,0,3,1,1,26,20.575
94,0,3,0,1,59,7.25
95,0,3,0,1,25,8.05
