0_Survived,Age,CabinClassA,CabinClassB,CabinClassC,CabinClassD,CabinClassE,CabinClassF,CabinClassG,CabinClassT,Fare,Gender,NameLuck,Parch,Pclass1,Pclass2,Pclass3,PortC,PortQ,PortS,SibSp
0,0.275,0,0,0,0,0,0,0,0,0.0141510575622,1,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.475,0,0,1,0,0,0,0,0,0.139135735383,0,-1.0,0.0,1,0,0,1,0,0,0.125
1,0.325,0,0,0,0,0,0,0,0,0.015468569818,0,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.4375,0,0,1,0,0,0,0,0,0.103644297456,0,-1.0,0.0,1,0,0,0,0,1,0.125
0,0.4375,0,0,0,0,0,0,0,0,0.0157125535691,1,0.18,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0165095020936,1,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.675,0,0,0,0,1,0,0,0,0.10122885832,1,-1.0,0.0,1,0,0,0,0,1,0.0
0,0.025,0,0,0,0,0,0,0,0,0.0411356604308,1,-1.0,0.111111111111,0,0,1,0,0,1,0.375
1,0.3375,0,0,0,0,0,0,0,0,0.0217307543665,0,-1.0,0.222222222222,0,0,1,0,0,1,0.0
1,0.175,0,0,0,0,0,0,0,0,0.058694292654,0,-1.0,0.0,0,1,0,1,0,0,0.125
1,0.05,0,0,0,0,0,0,1,0,0.0325962291433,0,-1.0,0.111111111111,0,0,1,0,0,1,0.125
1,0.725,0,0,1,0,0,0,0,0,0.0518221487278,0,1.0,0.0,1,0,0,0,0,1,0.0
0,0.25,0,0,0,0,0,0,0,0,0.0157125535691,1,0.18,0.0,0,0,1,0,0,1,0.0
0,0.4875,0,0,0,0,0,0,0,0,0.0610447345184,1,-1.0,0.555555555556,0,0,1,0,0,1,0.125
0,0.175,0,0,0,0,0,0,0,0,0.0153303774214,0,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.6875,0,0,0,0,0,0,0,0,0.0312299201373,0,0.7,0.0,0,1,0,0,0,1,0.0
0,0.025,0,0,0,0,0,0,0,0,0.0568482139999,1,-1.0,0.111111111111,0,0,1,0,1,0,0.5
1,0.36875,0,0,0,0,0,0,0,0,0.0253743101115,1,0.25,0.0,0,1,0,0,0,1,0.0
0,0.3875,0,0,0,0,0,0,0,0,0.0351336601544,0,-1.0,0.0,0,0,1,0,0,1,0.125
1,0.275,0,0,0,0,0,0,0,0,0.014102260812,0,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.4375,0,0,0,0,0,0,0,0,0.0507486202231,1,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.425,0,0,0,1,0,0,0,0,0.0253743101115,1,-1.0,0.0,0,1,0,0,0,1,0.0
1,0.1875,0,0,0,0,0,0,0,0,0.0156719546729,0,0.8,0.0,0,0,1,0,1,0,0.0
1,0.35,1,0,0,0,0,0,0,0,0.0692913853046,1,0.25,0.0,1,0,0,0,0,1,0.0
0,0.1,0,0,0,0,0,0,0,0,0.0411356604308,0,-1.0,0.111111111111,0,0,1,0,0,1,0.375
1,0.475,0,0,0,0,0,0,0,0,0.0612643198943,0,-1.0,0.555555555556,0,0,1,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.014102260812,1,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.2375,0,0,1,0,0,0,0,0,0.513341812257,1,0.25,0.222222222222,1,0,0,0,0,1,0.375
1,0.275,0,0,0,0,0,0,0,0,0.0153791741716,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,0,0,1,0.0
0,0.5,0,0,0,0,0,0,0,0,0.0541073981339,1,-1.0,0.0,1,0,0,1,0,0,0.0
1,0.45,0,1,0,0,0,0,0,0,0.285989555153,0,0.25,0.0,1,0,0,1,0,0,0.125
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,0.7,0.0,0,0,1,0,1,0,0.0
0,0.825,0,0,0,0,0,0,0,0,0.0204946350901,1,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.35,0,0,0,0,0,0,0,0,0.160386720101,1,-1.0,0.0,1,0,0,1,0,0,0.125
0,0.525,0,0,0,0,0,0,0,0,0.101497240446,1,-1.0,0.0,1,0,0,0,0,1,0.125
1,0.3125,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
0,0.2625,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.225,0,0,0,0,0,0,0,0,0.0351336601544,0,-1.0,0.0,0,0,1,0,0,1,0.25
1,0.175,0,0,0,0,0,0,0,0,0.0219423370755,0,-1.0,0.0,0,0,1,1,0,0,0.125
0,0.5,0,0,0,0,0,0,0,0,0.0184939683313,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.3375,0,0,0,0,0,0,0,0,0.0409892701802,0,0.25,0.0,0,1,0,0,0,1,0.125
0,0.3125,0,0,0,0,0,0,0,0,0.0154115752137,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.0375,0,0,0,0,0,0,0,0,0.0811571934608,0,-1.0,0.222222222222,0,1,0,1,0,0,0.125
1,0.2375,0,0,0,0,0,0,0,0,0.0153791741716,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.0157125535691,1,0.25,0.0,0,0,1,0,0,1,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.030253985133,1,-1.0,0.0,0,0,1,0,1,0,0.125
1,0.275,0,0,0,0,0,0,0,0,0.0151269925665,0,-1.0,0.0,0,0,1,0,1,0,0.0
0,0.3125,0,0,0,0,0,0,0,0,0.04231498029,1,-1.0,0.0,0,0,1,1,0,0,0.25
0,0.225,0,0,0,0,0,0,0,0,0.0347432861527,0,-1.0,0.0,0,0,1,0,0,1,0.125
0,0.0875,0,0,0,0,0,0,0,0,0.0774648409655,1,-1.0,0.111111111111,0,0,1,0,0,1,0.5
0,0.2625,0,0,0,0,0,0,0,0,0.0152245860669,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.6125,0,0,0,1,0,0,0,0,0.149765424262,0,0.18,0.0,1,0,0,1,0,0,0.125
1,0.3625,0,0,0,0,0,0,0,0,0.0507486202231,0,1.0,0.0,0,1,0,0,0,1,0.125
0,0.8125,0,1,0,0,0,0,0,0,0.120975341636,1,-1.0,0.111111111111,1,0,0,1,0,0,0.0
1,0.525,0,0,1,0,0,0,0,0,0.0692913853046,1,-1.0,0.0,1,0,0,0,0,1,0.0
1,0.2625,0,0,0,0,0,0,0,0,0.0204946350901,0,-1.0,0.0,0,1,0,0,0,1,0.0
0,0.35625,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.0625,0,0,0,0,0,0,0,0,0.0541643927381,0,-1.0,0.222222222222,0,1,0,0,0,1,0.125
0,0.1375,0,0,0,0,0,0,0,0,0.0915427034024,1,0.25,0.222222222222,0,0,1,0,0,1,0.625
0,0.275,0,0,0,0,0,0,0,0,0.014110458666,1,-1.0,0.0,0,0,1,1,0,0,0.0
1,0.475,0,1,0,0,0,0,0,0,0.156149600686,0,-1.0,0.0,1,0,0,0,0,0,0.0
0,0.5625,0,0,1,0,0,0,0,0,0.162932348966,1,0.18,0.0,1,0,0,0,0,1,0.125
0,0.05,0,0,0,0,0,0,0,0,0.0544571732394,1,-1.0,0.222222222222,0,0,1,0,0,1,0.375
0,0.525,0,0,0,0,0,0,0,0,0.0541073981339,1,-1.0,0.0,1,0,0,1,0,0,0.0
1,0.3125,0,0,0,0,0,0,0,0,0.0297578197768,1,-1.0,0.111111111111,0,0,1,1,0,0,0.125
1,0.3625,0,0,0,0,0,1,0,0,0.0204946350901,0,1.0,0.0,0,1,0,0,0,1,0.0
0,0.2375,0,0,0,0,0,0,0,0,0.015923941091,1,-1.0,0.0,0,0,1,0,0,1,0.0
1,0.2125,0,0,0,0,0,0,0,0,0.015468569818,0,-1.0,0.222222222222,0,0,1,0,0,1,0.5
0,0.325,0,0,0,0,0,0,0,0,0.0169080739493,1,-1.0,0.0,0,0,1,0,0,1,0.25
